2023-10-04 16:38:40,956.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Today is 2023-10-04 at 04:38 PM
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Running on: nt Windows 10
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python version:  3.11.5
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Working dir: C:\Users\cori.tynes\Desktop\Documents_44671\MOD6\streaming-06-smart-smoker
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:44,826.CM_SMARTSMOKER_PROD.INFO Reading messages from smoker_temps_CM.csv...
2023-10-04 16:38:44,827.CM_SMARTSMOKER_PROD.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-04 16:38:44,827.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:20:15,84.2]'....
2023-10-04 16:38:44,837.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:20:15,No data received from row]'....
2023-10-04 16:38:44,846.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:20:15,No data received from row]'....
2023-10-04 16:38:46,860.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:20:20,84.2]'....
2023-10-04 16:38:46,871.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:20:20,No data received from row]'....
2023-10-04 16:38:46,883.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:20:20,No data received from row]'....
2023-10-04 16:38:48,896.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:21:10,87.6]'....
2023-10-04 16:38:48,910.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:21:10,No data received from row]'....
2023-10-04 16:38:48,921.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:21:10,No data received from row]'....
2023-10-04 16:38:50,931.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:21:15,87.6]'....
2023-10-04 16:38:50,951.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:21:15,No data received from row]'....
2023-10-04 16:38:50,961.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:21:15,No data received from row]'....
2023-10-04 16:38:52,970.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:22:10,86.3]'....
2023-10-04 16:38:52,984.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:22:10,No data received from row]'....
2023-10-04 16:38:52,996.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:22:10,No data received from row]'....
2023-10-04 16:38:55,012.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:22:15,86.3]'....
2023-10-04 16:38:55,026.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:22:15,No data received from row]'....
2023-10-04 16:38:55,038.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:22:15,No data received from row]'....
2023-10-04 16:38:57,047.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:23:10,92.0]'....
2023-10-04 16:38:57,060.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:23:10,No data received from row]'....
2023-10-04 16:38:57,072.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:23:10,No data received from row]'....
